tweet,sentiment
"After government ordered police to shoot protesters killing 19 GenZ youths in the process, the GenZ young people have erupted in anger across Nepal.

The finance minister of Nepal was caught, beaten and thrown into a river. 

Protests continue in Nepal. https://t.co/EvlucBxgFb",Negative
A Nepalese youth waves the Nepal flag in the presidential palace as a sign of victory over the corrupt regime! https://t.co/n4wNFBEiwl,Negative
Hello all! Positive thoughts for the people in Nepal. Portugal and Nepal together! http://t.co/V2rvtX9ebf,Positive
Gen Z in Nepal rebuilding their communities after protests in the country. https://t.co/Je8eJZTLEm,Neutral
"THIS IS HOW IT’S DONE 🏆

Politicians BANNED social media use in Nepal so their CITIZENS BURNED DOWN PARLIAMENT 👏🏻👏🏻👏🏻 as the CORRUPT Politicians FLED by helicopter. https://t.co/TUDS2DJgVO",Negative
"WORLD NEWS:

The moment police officers in Nepal had to retreat after protesters overpowered them https://t.co/IAvANC9Qei",Neutral
Can we take a moment to admire Nepal’s revolutionary army of Gen Z stormtroopers who have just set fire to parliament and ousted their prime minister in spectacularly dramatic fashion https://t.co/MdzCocfzUK,Negative
"LMFAO, that vlogger went to Nepal on vacation and ended in the middle of their revolution and ended up documenting the whole thing😂.

He became a celebrity over there apparently https://t.co/LWR2PHI7KW",Positive
The Hilton Hotel in Nepal where a lot of corrupt politicians spend stolen money on women and enjoyment has been burnt down by the angry Nepalese GenZ youth protesters. https://t.co/QSgGd4OIua,Negative
The youths in Nepal celebrated the army for defending them from being attacked by the police! https://t.co/Q9UGJmIsKr,Positive
"Now I understand why the Nepal youth burned down the parliament.. 

👀 https://t.co/vHzJS1SCeb",Negative
How Nepalese Gen Zs  spared tourists in the country during the protests in Nepal! https://t.co/8nsayjY4j7,Neutral
"In Nepal, protesters capture politicians and throw them into the river. https://t.co/XBINIhmkj9",Neutral
Nepalese youths rescue a dog trapped in one of the burning government buildings in Nepal! https://t.co/IophTzO7fX,Negative
"WORLD NEWS:

Politicians in Nepal had to hang onto ropes from helicopters to escape from the wrath of the protesters https://t.co/ZSBRADfuio",Neutral
Nepal 🇳🇵 Gen Z are contributing to build that nation after protest. https://t.co/3l8bQW1XBR,Neutral
Now I understand why Nepal ranks 92nd in the Happiness Index !! https://t.co/arhmDVEH2q,Positive
"""Gen Z in Nepal are now using Discord to decide the country’s future""

Crazy https://t.co/TTzTquaq5V",Negative
"After government ordered police to shoot protesters killing 19 GenZ youths in the process, the GenZ young people have erupted in anger across Nepal.

The finance minister of Nepal was caught, beaten and thrown into a river. 

Protests continue in Nepal. https://t.co/EvlucBxgFb",Negative
A Nepalese youth waves the Nepal flag in the presidential palace as a sign of victory over the corrupt regime! https://t.co/n4wNFBEiwl,Negative
Hello all! Positive thoughts for the people in Nepal. Portugal and Nepal together! http://t.co/V2rvtX9ebf,Positive
Gen Z in Nepal rebuilding their communities after protests in the country. https://t.co/Je8eJZTLEm,Neutral
"THIS IS HOW IT’S DONE 🏆

Politicians BANNED social media use in Nepal so their CITIZENS BURNED DOWN PARLIAMENT 👏🏻👏🏻👏🏻 as the CORRUPT Politicians FLED by helicopter. https://t.co/TUDS2DJgVO",Negative
"WORLD NEWS:

The moment police officers in Nepal had to retreat after protesters overpowered them https://t.co/IAvANC9Qei",Neutral
Can we take a moment to admire Nepal’s revolutionary army of Gen Z stormtroopers who have just set fire to parliament and ousted their prime minister in spectacularly dramatic fashion https://t.co/MdzCocfzUK,Negative
"LMFAO, that vlogger went to Nepal on vacation and ended in the middle of their revolution and ended up documenting the whole thing😂.

He became a celebrity over there apparently https://t.co/LWR2PHI7KW",Positive
The Hilton Hotel in Nepal where a lot of corrupt politicians spend stolen money on women and enjoyment has been burnt down by the angry Nepalese GenZ youth protesters. https://t.co/QSgGd4OIua,Negative
The youths in Nepal celebrated the army for defending them from being attacked by the police! https://t.co/Q9UGJmIsKr,Positive
"Now I understand why the Nepal youth burned down the parliament.. 

👀 https://t.co/vHzJS1SCeb",Negative
How Nepalese Gen Zs  spared tourists in the country during the protests in Nepal! https://t.co/8nsayjY4j7,Neutral
Nepalese youths rescue a dog trapped in one of the burning government buildings in Nepal! https://t.co/IophTzO7fX,Negative
"In Nepal, protesters capture politicians and throw them into the river. https://t.co/XBINIhmkj9",Neutral
"WORLD NEWS:

Politicians in Nepal had to hang onto ropes from helicopters to escape from the wrath of the protesters https://t.co/ZSBRADfuio",Neutral
Nepal 🇳🇵 Gen Z are contributing to build that nation after protest. https://t.co/3l8bQW1XBR,Neutral
Now I understand why Nepal ranks 92nd in the Happiness Index !! https://t.co/arhmDVEH2q,Positive
"""Gen Z in Nepal are now using Discord to decide the country’s future""

Crazy https://t.co/TTzTquaq5V",Negative
"After government ordered police to shoot protesters killing 19 GenZ youths in the process, the GenZ young people have erupted in anger across Nepal.

The finance minister of Nepal was caught, beaten and thrown into a river. 

Protests continue in Nepal. https://t.co/EvlucBxgFb",Negative
Hello all! Positive thoughts for the people in Nepal. Portugal and Nepal together! http://t.co/V2rvtX9ebf,Positive
A Nepalese youth waves the Nepal flag in the presidential palace as a sign of victory over the corrupt regime! https://t.co/n4wNFBEiwl,Negative
Gen Z in Nepal rebuilding their communities after protests in the country. https://t.co/Je8eJZTLEm,Neutral
"THIS IS HOW IT’S DONE 🏆

Politicians BANNED social media use in Nepal so their CITIZENS BURNED DOWN PARLIAMENT 👏🏻👏🏻👏🏻 as the CORRUPT Politicians FLED by helicopter. https://t.co/TUDS2DJgVO",Negative
"WORLD NEWS:

The moment police officers in Nepal had to retreat after protesters overpowered them https://t.co/IAvANC9Qei",Neutral
Can we take a moment to admire Nepal’s revolutionary army of Gen Z stormtroopers who have just set fire to parliament and ousted their prime minister in spectacularly dramatic fashion https://t.co/MdzCocfzUK,Negative
"LMFAO, that vlogger went to Nepal on vacation and ended in the middle of their revolution and ended up documenting the whole thing😂.

He became a celebrity over there apparently https://t.co/LWR2PHI7KW",Positive
The Hilton Hotel in Nepal where a lot of corrupt politicians spend stolen money on women and enjoyment has been burnt down by the angry Nepalese GenZ youth protesters. https://t.co/QSgGd4OIua,Negative
The youths in Nepal celebrated the army for defending them from being attacked by the police! https://t.co/Q9UGJmIsKr,Positive
"Now I understand why the Nepal youth burned down the parliament.. 

👀 https://t.co/vHzJS1SCeb",Negative
How Nepalese Gen Zs  spared tourists in the country during the protests in Nepal! https://t.co/8nsayjY4j7,Neutral
"In Nepal, protesters capture politicians and throw them into the river. https://t.co/XBINIhmkj9",Neutral
Nepalese youths rescue a dog trapped in one of the burning government buildings in Nepal! https://t.co/IophTzO7fX,Negative
"WORLD NEWS:

Politicians in Nepal had to hang onto ropes from helicopters to escape from the wrath of the protesters https://t.co/ZSBRADfuio",Neutral
Nepal 🇳🇵 Gen Z are contributing to build that nation after protest. https://t.co/3l8bQW1XBR,Neutral
Now I understand why Nepal ranks 92nd in the Happiness Index !! https://t.co/arhmDVEH2q,Positive
"""Gen Z in Nepal are now using Discord to decide the country’s future""

Crazy https://t.co/TTzTquaq5V",Negative
"After government ordered police to shoot protesters killing 19 GenZ youths in the process, the GenZ young people have erupted in anger across Nepal.

The finance minister of Nepal was caught, beaten and thrown into a river. 

Protests continue in Nepal. https://t.co/EvlucBxgFb",Negative
A Nepalese youth waves the Nepal flag in the presidential palace as a sign of victory over the corrupt regime! https://t.co/n4wNFBEiwl,Negative
Hello all! Positive thoughts for the people in Nepal. Portugal and Nepal together! http://t.co/V2rvtX9ebf,Positive
